anchor_text,anchor_image,anchor_sound,association_label,association_text,association_image,association_sound,direction,notes_text,notes_image,notes_sound,notes_embed
,http://stechschulte.net/asl/accident.jpg,,,accident,,,,,,,
,http://stechschulte.net/asl/all_v2.jpg,,,all,,,,,,,
,http://stechschulte.net/asl/character.jpg,,,character,,,,,,,
,http://stechschulte.net/asl/check.jpg,,,check,,,,,,,
,http://stechschulte.net/asl/congress.jpg,,,congress,,,,,,,
,http://stechschulte.net/asl/constitution.jpg,,,constitution,,,,,,,
,http://stechschulte.net/asl/country.jpg,,,country,,,,,,,
,http://stechschulte.net/asl/crack.jpg,,,crack,,,,,,,
,http://stechschulte.net/asl/enough.jpg,,,enough,,,,,,,
,http://stechschulte.net/asl/exaggerated.jpg,,,exaggerated,,,,,,,
,http://stechschulte.net/asl/fault.jpg,,,fault,,,,,,,
,http://stechschulte.net/asl/freeway.jpg,,,freeway,,,,,,,
,http://stechschulte.net/asl/freeze.jpg,,,freeze,,,,,,,
,http://stechschulte.net/asl/government.jpg,,,government,,,,,,,
,http://stechschulte.net/asl/involved.jpg,,,involved,,,,,,,
,http://stechschulte.net/asl/laid_up.jpg,,,laid up,,,,,,,
,http://stechschulte.net/asl/loan.jpg,,,loan,,,,,,,
,http://stechschulte.net/asl/lose.jpg,,,lose,,,,,,,
,http://stechschulte.net/asl/nation.jpg,,,nation,,,,,,,
,http://stechschulte.net/asl/perfect.jpg,,,perfect,,,,,,,
,http://stechschulte.net/asl/permit.jpg,,,permit,,,,,,,
,http://stechschulte.net/asl/scared.jpg,,,scared,,,,,,,
,http://stechschulte.net/asl/senate.jpg,,,senate,,,,,,,
,http://stechschulte.net/asl/skill.jpg,,,skill,,,,,,,
,http://stechschulte.net/asl/vice_president.jpg,,,vice president,,,,,,,
,http://stechschulte.net/asl/vote.jpg,,,vote,,,,,,,
,http://stechschulte.net/asl/wall.jpg,,,wall,,,,,,,
,http://stechschulte.net/asl/win.jpg,,,win,,,,,,,
,http://stechschulte.net/asl/worse.jpg,,,worse,,,,,,,
